mass_accuracy_diff,rank_accuracy_diff,in_mask_mass_accuracy,in_mask_rank_accuracy,out_mask_mass_accuracy,out_mask_rank_accuracy,model,xai_method,pretraining,label
0.09260000000000002,0.06999999999999999,0.1453,0.1568,0.0527,0.0868,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.050799999999999984,-0.04189999999999999,0.208,0.1648,0.2588,0.2067,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.1531,0.0412,0.2069,0.1577,0.0538,0.1165,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.12500000000000003,0.050600000000000006,0.2332,0.2068,0.3582,0.1562,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.0455,0.01419999999999999,0.0514,0.1505,0.0969,0.1363,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.06709999999999999,0.0669,0.1042,0.1381,0.0371,0.0712,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.0161,-0.0537,0.0268,0.0638,0.0429,0.1175,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.01680000000000001,0.047799999999999995,0.0946,0.1686,0.0778,0.1208,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.28390000000000004,0.04239999999999999,0.4571,0.243,0.1732,0.2006,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.11760000000000001,-0.023400000000000004,0.16,0.2132,0.2776,0.2366,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.10670000000000002,0.07119999999999999,0.2194,0.2049,0.1127,0.1337,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.004100000000000006,-0.03719999999999998,0.0892,0.1179,0.0851,0.1551,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.11750000000000001,0.03290000000000001,0.2288,0.1963,0.1113,0.1634,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.0131,-0.0411,0.0624,0.0455,0.0493,0.0866,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.0233,-0.0538,0.0338,0.0523,0.0571,0.1061,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.24630000000000002,-0.0204,0.0812,0.1189,0.3275,0.1393,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.1198,0.09359999999999999,0.1411,0.1679,0.0213,0.0743,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.11489999999999999,0.023799999999999988,0.2123,0.1686,0.0974,0.1448,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.0956,0.035799999999999985,0.1267,0.1266,0.0311,0.0908,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.055300000000000016,-0.03870000000000001,0.3824,0.1795,0.3271,0.2182,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.2102,0.127,0.2904,0.2068,0.0802,0.0798,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.28269999999999995,-0.019599999999999992,0.4457,0.0485,0.163,0.0681,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.1054,0.012999999999999984,0.2243,0.1689,0.1189,0.1559,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.07990000000000001,-0.082,0.0755,0.0898,0.1554,0.1718,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.055999999999999994,-0.022999999999999993,0.0749,0.1197,0.1309,0.1427,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.6432,0.02940000000000001,0.7732,0.2333,0.13,0.2039,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.3387,0.001700000000000007,0.0746,0.1729,0.4133,0.1712,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.0753,0.03990000000000002,0.1819,0.2464,0.1066,0.2065,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.034800000000000025,0.08329999999999999,0.2205,0.3448,0.2553,0.2615,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.12980000000000003,0.05890000000000001,0.1733,0.2003,0.0435,0.1414,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.10800000000000001,0.001799999999999996,0.1339,0.2448,0.2419,0.243,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.20139999999999997,-0.06609999999999999,0.072,0.1335,0.2734,0.1996,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.0319,-0.0324,0.0533,0.1083,0.0214,0.1407,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.1028,0.0904,0.1634,0.2074,0.2662,0.117,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.0341,-0.020100000000000007,0.0584,0.1416,0.0925,0.1617,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.40220000000000006,0.0005000000000000004,0.5227,0.2777,0.1205,0.2772,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.021100000000000008,-0.014100000000000001,0.1423,0.1955,0.1212,0.2096,vit,lrp,from_scratch,Enlarged Cardiomediastinum
